metric,method,start_mean,end_mean,end_std,num_seeds,end_step
reward,RNN memory,-0.08032287785317749,3.289430047385697,0.7235462663244661,4,200064
reward,No memory,-0.07623209559824318,3.739519004095998,0.9156083989963002,4,200064
distance_to_goal,RNN memory,5.4672874212265015,0.8465734376693499,0.8592576645320308,4,200064
distance_to_goal,No memory,5.477654814720154,1.0095767883030846,0.8443431321330958,4,200064
success,RNN memory,0.0,0.6597588878967912,0.09132047721597408,4,200064
success,No memory,0.0,0.46455121310361475,0.10378031125333069,4,200064
spl,RNN memory,0.0,0.512745641865143,0.07119380333081293,4,200064
spl,No memory,0.0,0.34068366478461576,0.07325635274633613,4,200064
