metric,start_mean,end_mean,end_spread,num_seeds,end_step
reward,-0.07623209559824318,3.739519004095998,0.9156083989963002,4,200064
distance_to_goal,5.477654814720154,1.0095767883030846,0.8443431321330958,4,200064
success,0.0,0.46455121310361475,0.10378031125333069,4,200064
spl,0.0,0.34068366478461576,0.07325635274633613,4,200064
