step,mean,std
128,-0.07623209559824318,0.04768344629143965
256,-0.06967216980992816,0.03956915626487006
384,-0.06605299230635864,0.03215670762557249
512,-0.06086309242410061,0.027645906528594333
640,-0.056315683589944814,0.02489630153808364
768,-0.05244547205047968,0.022236433648826978
896,-0.04862096554438548,0.021378411272079668
1024,-0.045250089554143294,0.01903955867262599
1152,-0.042711648871120805,0.017398599170703268
1280,-0.04072627548611357,0.01732584073837
1408,-0.03929297258277253,0.016911394263969075
1536,-0.03819623410813225,0.01621558110093407
1664,-0.036966759426535475,0.014896181871554469
1792,-0.035804886384787765,0.013584889621854234
1920,-0.03482335497408879,0.012351556963817307
2048,-0.03375416804060892,0.011273863214364384
2176,-0.032754750634168314,0.010288452820912298
2304,-0.03201168210898291,0.009461516432538513
2432,-0.03151607114957307,0.008578517721692623
2560,-0.030851935700734988,0.00787387408434541
2688,-0.030439122120153365,0.00718293970819048
2816,-0.029962001000823812,0.006793335706094851
2944,-0.02965947861272583,0.006345401771980668
3072,-0.029305151724107227,0.005952394097257642
3200,-0.02902679066649982,0.005738017649090661
3328,-0.028815570666311907,0.0058085573243804155
3456,-0.028590776068921804,0.005937941748622451
3584,-0.028474485887164898,0.006172112924689291
3712,-0.028251789348995957,0.006517269621530103
3840,-0.02806022387494006,0.006985307776479364
3968,-0.027936965514000055,0.0071598020168959576
4096,-0.027824993617202518,0.007332344575487594
4224,-0.027530130990245268,0.007664881762559303
4352,-0.027082928088271195,0.007920851111855842
4480,-0.026673661115623054,0.008061461400067556
4608,-0.02636770365823985,0.008151778041449467
4736,-0.026082611316895522,0.00835762756298214
4864,-0.02583869721514496,0.008638280117245796
4992,-0.025619850036164238,0.008977113312967761
5120,-0.025518688321739282,0.00907526963621552
5248,-0.02545963806609722,0.009081753497662206
5376,-0.025422947442299126,0.009048743585167553
5504,-0.0255157319730407,0.008871187630357016
5632,-0.025588524109696652,0.008551408280880628
5760,-0.025603069847786437,0.008158012367847892
5888,-0.02562002204880805,0.007937943567730253
6016,-0.025566075183233495,0.007833263713688522
6144,-0.025612005051040394,0.007688842763484737
6272,-0.02553455318960466,0.007642590569213435
6400,-0.02540140998019507,0.007473272120053199
6528,-0.02515068018497945,0.007481715773834866
6656,-0.02473147033868489,0.007540375562329418
6784,-0.02443380980837364,0.00748134958818145
6912,-0.02421157192138524,0.007266383224008706
7040,-0.024038100696410117,0.0069616203921048685
7168,-0.023891112312367378,0.006818274250254504
7296,-0.023721660927328907,0.006754837677753026
7424,-0.02349089770722829,0.006639466924704645
7552,-0.023197463712490363,0.006702885713888856
7680,-0.0228841352150773,0.006781342416933164
7808,-0.02256772412082625,0.007001133307577276
7936,-0.022172361848057296,0.007235982308174485
8064,-0.021841710470759213,0.007402460479729179
8192,-0.021529412086009947,0.007647101362706072
8320,-0.021262798438498716,0.008049596356547842
8448,-0.021040754859003488,0.008378133683684464
8576,-0.020836713107346354,0.00853099605480743
8704,-0.02058744685476624,0.008621756615815707
8832,-0.020378483740369602,0.008613948431227961
8960,-0.020136612531708536,0.008452589394153292
9088,-0.019951757715205923,0.008117781234996234
9216,-0.019644595159181943,0.00789844411289773
9344,-0.0194007183516094,0.007658321491696342
9472,-0.0192281424797161,0.007279351696974503
9600,-0.018925973364670678,0.007033965010238893
9728,-0.01862532750221283,0.006867666893082203
9856,-0.018301495240162932,0.006682795013092284
9984,-0.018065957491225457,0.006420589713197933
10112,-0.017934755400377003,0.005950511833692517
10240,-0.01776549020326273,0.005637101230730707
10368,-0.017569802540205078,0.005363742709358867
10496,-0.017521039550484802,0.004728495360780522
10624,-0.017560986623183485,0.004216105965838995
10752,-0.01762029573955959,0.0036507596810009296
10880,-0.017647391221292334,0.003149819009235296
11008,-0.01764081652087459,0.0027730728849750396
11136,-0.017714785942134666,0.0024133697231058225
11264,-0.01770843992371638,0.0022271581548635394
11392,-0.0175144055241745,0.0021448122633989887
11520,-0.01726647190398758,0.0021444879228660085
11648,-0.017022887890504226,0.0022277845842386353
11776,-0.016576126592050208,0.002142495271607755
11904,-0.015969076139416973,0.0018019531465385023
12032,-0.015444566717187493,0.001501549809166264
12160,-0.015021062539547868,0.001362097817283262
12288,-0.014644233778759253,0.0013377783299916319
12416,-0.014202687372811386,0.0011858679918196014
12544,-0.013826320824284689,0.0011213743307448294
12672,-0.013459827005784148,0.0010067905482332511
12800,-0.013246345526937268,0.0010952242556742748
12928,-0.013069269551256375,0.0012768393596074067
13056,-0.012715558640068984,0.0011372004581345185
13184,-0.012242228848172011,0.0008665134527582785
13312,-0.011704330077182863,0.0005976116379112916
13440,-0.011145157254679622,0.0005323258813119782
13568,-0.010578737857281743,0.0006673807612817661
13696,-0.010003894762016104,0.00082766850087031
13824,-0.009458749737861132,0.000998260735386145
13952,-0.009079965865795457,0.0010491479479294262
14080,-0.008660829637905033,0.0010313747583534738
14208,-0.008307566992793046,0.0010353779341125001
14336,-0.00783571875348429,0.001150609323298868
14464,-0.007409326692889113,0.0011827818793753852
14592,-0.006861439193107139,0.001241755430301814
14720,-0.006304379571597003,0.0014930241494108798
14848,-0.005658247928251262,0.0016228203076238722
14976,-0.004997965918172637,0.0017743314034967509
15104,-0.004245271042527858,0.0020241366381924648
15232,-0.0034562350254164842,0.0024368142407358733
15360,-0.0027561583681347543,0.002811541924241942
15488,-0.0018083916559524771,0.0032375751651654615
15616,-0.0009510418877643292,0.003609841684625723
15744,-8.81815321773315e-05,0.004057020311102702
15872,0.0005585126660785432,0.004325064678698373
16000,0.0013475915349968116,0.0047084819173042565
16128,0.002290193148190408,0.005267968422980227
16256,0.00318737538986628,0.005692378420196629
16384,0.004238238817341226,0.006179598386637522
16512,0.005724116058822382,0.0072178269875275425
16640,0.007041030681104856,0.008119186620024126
16768,0.008518456750236512,0.008956549940340763
16896,0.009963970935544424,0.00947470071624051
17024,0.011372746552920237,0.009727617561918443
17152,0.012972934342435509,0.010256988825777552
17280,0.014801525562961682,0.010614676924154992
17408,0.01708190958952861,0.010785641588364477
17536,0.01916121354657599,0.011252003559179895
17664,0.021084539837689056,0.011631812205377132
17792,0.022974786859930284,0.012109123338503093
17920,0.025128633521165566,0.013072891335710029
18048,0.027633447756895125,0.014618187496586416
18176,0.030149119622737808,0.015823180992364613
18304,0.032713547573756226,0.016893548959504862
18432,0.035471459808901346,0.017983909829185678
18560,0.03813683314889628,0.019218330236606157
18688,0.04055720837213809,0.020193460774182614
18816,0.042989343600133886,0.021038308784850898
18944,0.045617491894685586,0.021749293533502894
19072,0.04800627053278421,0.022415694571340825
19200,0.050821364216984063,0.02360519672591765
19328,0.05360129598121706,0.025329853144956678
19456,0.05663140052304649,0.026943669684162355
19584,0.059784406329781686,0.028092716094419577
19712,0.06278863262795134,0.029099061292354764
19840,0.0658824412950706,0.0304111061267744
19968,0.06908064632013508,0.031519985168665186
20096,0.07243077341043261,0.03277039447681837
20224,0.0764204223101319,0.03365135619924784
20352,0.08035715417546371,0.03468575756001873
20480,0.08357581640727807,0.03560520075650814
20608,0.08695772329226499,0.0364623749251777
20736,0.09100906528152089,0.037850223257497706
20864,0.09425906654682756,0.038832514541534156
20992,0.09755317013352066,0.040445009653142586
21120,0.10128873559713968,0.041555977275425475
21248,0.10566055025357521,0.04224690789015047
21376,0.10993987169209857,0.04286948649612307
21504,0.1141387706686276,0.04314989900636242
21632,0.11851777083782705,0.04283707976514663
21760,0.12143014447805385,0.04178279509503561
21888,0.12548269452283317,0.04018598194199894
22016,0.12987501053397957,0.038123272746937616
22144,0.1346751238194837,0.036134008785290855
22272,0.13889308565552766,0.033500305237237085
22400,0.1423835868601141,0.03125639618506333
22528,0.14607056530510554,0.029445962191682953
22656,0.14911969726896182,0.0273298291680329
22784,0.15093114225093038,0.024774858985990255
22912,0.15316605603516087,0.022856963989101482
23040,0.15468786258694514,0.022318234087952075
23168,0.15709085591701108,0.022149029707443164
23296,0.15963416084753793,0.022868499039167062
23424,0.16157841885925556,0.02364179970789873
23552,0.163228060917209,0.023947637602172337
23680,0.1641109636785863,0.023816440252839587
23808,0.1657635786168711,0.02322979671287176
23936,0.1673271255272623,0.0227948217745932
24064,0.1702281551650461,0.02239035049301038
24192,0.17335516582206906,0.02216859333413334
24320,0.17529221638773498,0.021729393507581442
24448,0.17679874611421853,0.021314231242285958
24576,0.1782344834073957,0.021066066548958352
24704,0.1788503807191938,0.020832287803192837
24832,0.18042096077841088,0.02033531270647142
24960,0.18269204309856227,0.019840706000852807
